LOG_NO,"NOTIFIER, VENDOR",DESCRIPTION,REP_DATE,ACCESS_NO 
91146,"AUTOMATIC SWITCH COMPANY,GENERAL ELECTRIC",VALVE REBUILD KITS,12/02/1991,911211.0018
91147,"HUB,BBC BROWN BOVERI","POTENTIAL GENERIC DEFECT OF TYPE RXMH2, MODEL RK223068-EA AND RK223069-EA RELAYS",12/12/1991,911230.0078
91148,"MORRISON- KNUDSEN, CONNECTICUT YANKEE ATOMIC POWER",ROTOR POLE MOUNTING BOLT TORQUE ON EMD A20C GENERATOR,12/13/1991,920303.0230
90001,"VIRGINIA ELECTRIC AND POWER, WESTINGHOUSE",POTENTIALLY ERRONEOUS EMERGENCY CORE COOLING SYSTEM INJECTION RATES IN LOSS OF COOLANT ACCIDENT MODEL,12/08/1989,ml013310325
90002,GENERAL ELECTRIC,TYPE IAV53L1A VOLTAGE RELAY WAS NOT SET AND ENERGIZED AS PRESCRIBED IN IEEE C37.98-1978,12/22/1989,9001040198
90003,"COMMONWEALTH EDISON,BBC BROWN BOVERI",CRACKS IN 8 CONTROL RODS,12/20/1989,9504250392
90004,"TENNESSEE VALLEY AUTHORITY,ELLIS AND WATTS","POWER CABLE FOR HEATING, VENTILATION, AND AIR CONDITIONING UNITS NOT QUALIFIED FOR HARSH ENVIRONMENTS",12/19/1989,8912290213
90005,"CAROLINA POWER AND LIGHT, GENERAL ELECTRIC",STICKING CR205X AUXILIARY CONTACTS IN MOTOR CONTROL CENTERS,12/15/1989,8912270207
90006,WESTINGHOUSE,CIRCUIT BREAKERS WITH THERMAL AND MAGNETIC TRIP MECHANISMS MAY OPEN TOO SOON BECAUSE THE TRIP FUNCTIONS MAY OVERLAP,01/09/1990,9001300119
90007,"CONNECTICUT YANKEE ATOMIC POWER, SOUTHWEST ENGINEERING",STRESSES IN HEAT EXCHANGER BOLTING EXCEED ASME CODE,12/26/1989,9001030229
90008,GENERAL ELECTRIC,PROBLEMS IN PROCURING REPLACEMENT PARTS FOR SAFETY RELATED COMPONENTS,12/22/1989,9001040132
90009,"ENGINEERING AND ADVANCED TECHNOLOGY, CAROLINA POWER AND LIGHT",POSSIBLE ENVIRONMENTAL QUALIFICATION PROBLEMS WITH CONDUIT SEALS,01/05/1990,9001220152
90010,"DUKE POWER, BIF (GENERAL SIGNAL)",AGE HARDENING OF ELASTOMERIC SEAT MATERIAL IN VALVES MAY CAUSE PROBLEMS WITH OPERATER TORQUE SWITCH SETTINGS,01/15/1990,9001220210
90011,SOUTH CAROLINA ELECTRIC AND GAS,POSSIBLE STEAM PATH THAT MAY AFFECT UNQUALIFIED EQUIPMENT,01/08/1990,9001180204
90012,"HATCH INCORPORATED, NEBRASKA PUBLIC POWER DISTRICT",DISCREPANCIES IN THE TUBE FITTINGS OF SIX INSTRUMENT RACKS,01/10/1990,9001190159
90013,"NORTHEAST NUCLEAR ENERGY, ROCKBESTOS",INADEQUATE VENDOR DATA TO SUPPORT QUALIFICATION OF CABLE,01/02/1990,9001100205
90014,"ROCHESTER GAS AND ELECTRIC, WESTINGHOUSE",POTENTIAL SINGLE FAILURE OF A SWITCH COULD BLOCK SOME AUTOMATIC ACTUATION FEATURES OF BOTH TRAINS OF SAFETY INJECTION,01/12/1990,9001240122
90015,"PACIFIC GAS AND ELECTRIC, BINGHAM-WILLAME TTE",INADEQUATE HEAT TREATMENT OF PUMP IMPELLERS,01/15/1990,9001250190
90016,"COOPER ENERGY, CROSBY VALVE AND GAGE",RELIEF VALVE TYPES JMBU AND JRU ON EMERGENCY DEISEL GENERATOR AIR START SYSTEM CAN OPEN INADVERTENTLY,01/17/1990,9001260174
90017,MORRISON- KNUDSEN,SOME EMERGENCY DEISEL GENERATOR EXHAUST VALVES COULD HAVE TIP HARDENING PROBLEM,01/17/1990,9204200425
90018,"ANCHOR/DARLING, TELEDYNE REPUBLIC",BACKUP BUNA-N RINGS IN FOUR WAY VALVES SHOULD BE VITON RINGS,01/26/1990,9002160186
90019,GENERAL ELECTRIC,WIRES ON THRESHOLD DETECTION BOARDS OF SLV11A RELAYS CAN BE PUSHED TOGETHER RESULTING IN A SHORT,02/02/1990,9002120066
90020,AUTOMATIC VALVE COMPANY,DESIGN CHANGE FOR SOLENOID VALVES REQUIRES USE OF A SPECIAL SPANNER WRENCH TO TIGHTEN VALVE ON A MANIFOLD ASSEMBLY WHILE AVOIDING BENDING THE SHAFT,02/02/1990,9002220371
90021,"DUKE POWER, DRESSER INDUSTRIES",PRESSURIZER SAFETY VALVE RESEAT PRESSURE LESS THAN SATURATION PRESSURE,02/02/1990,9002130347
90022,"ROCHESTER GAS AND ELECTRIC, WESTINGHOUSE",POTENTIAL SINGLE FAILURE OF A SWITCH COULD BLOCK SOME AUTOMATIC ACTUATION FEATURES OF BOTH TRAINS OF SAFETY INJECTION,01/26/1990,9002120255
90023,WESTINGHOUSE,MOLDED CASE CIRCUIT BREAKERS COULD DEVIATE FROM PUBLISHED SPECIFICATIONS,02/06/1990,9002150268
90024,"CAROLINA POWER AND LIGHT, GENERAL ELECTRIC",SILICON BRONZE CARRIAGE BOLTS IN DC SWITCHBOARDS CRACKED AND FAILED,02/09/1990,9002230001
90025,"SARGENT AND LUNDY,TENNESSEE VALLEY AUTHORITY","ERRORS IN CABLE BLOCK DIAGRAMS, SEPARATION SKETCHES, CABLE LISTINGS, ETC., TO SUPPORT 10 CFR PART 50, APPENDIX R",02/14/1990,9002260375
90026,"GILBERT/COMMONW EALTH,SOUTH CAROLINA ELECTRIC AND GAS","WITH THROTTLED SERVICE WATER FLOW TO CHILLER THROTTLED, HIGH ENERGY LINE BREAK COULD CAUSE A CHILLER TRIP ON HIGH COMPRESSOR TEMPERATURE OR HIGH CONDENSER PRESSURE",02/13/1990,9002220573
90027,"DUQUESNE LIGHT, LIMITORQUE",CASTING DEFECT IN LIMIT STOP HOUSING OF HBC-1 GEAR OPERATOR COULD CAUSE VALVE MOTION TO STOP EARLY IN OPEN DIRECTION,02/14/1990,9002220059
90028,"ARIZONA PUBLIC SERVICE,HENRY PRATT",CONTAINMENT ISOLATION VALVES FAILED LOCAL LEAK RATE TEST DUE TO HYDROGEN EMBRITTLEMENT OF THRUST BEARING STUD PINS,02/14/1990,9002270070
90029,"SISKEN STEEL, TENNESSEE VALLEY AUTHORITY",TUBING CONTAINED LACK OF FUSION WELD DEFECTS,02/16/1990,9003200358
90030,BBC BROWN BOVERI,THERMAL STRESS DETERIORATION OF 3 WATT RESISTOR SOLDERED CONNECTIONS ON TYPE 27/59 RELAYS,02/22/1990,9003020075
90031,BOSTON EDISON,STATUS REPORT,02/15/1990,9003070095
90032,"CONSUMERS POWER, LIMITORQUE, EDWARDS VALVES",ACTUATOR SMB-00-25 MISSING A PIN THAT CONNECTS THE LIMIT SWITCH DRIVE GEAR TO THE DRIVE TRAIN,02/27/1990,9003080392
90033,"DUKE POWER, NELSON ELECTRIC, GTE-SYLVANIA",LOOSE MOUNTING SCREWS FOR CONTACTOR ASSEMBLIES IN MOTOR CONTROL CENTERS,02/14/1990,9002260392
90034,GENERAL ELECTRIC,POTENTIAL SHORT TO GROUND BETWEEN CORE SPRAY MOTOR STATOR COIL END TURNS AND LOWER AIR DEFLECTOR,03/15/1990,9004060462
90035,GENERAL ELECTRIC,DEFECTIVE NORMALLY CLOSED CONTACT IN CR305 AUXILIARY CONTACT ADDER BLOCK,03/15/1990,9004060473
90036,"ANCHOR/DARLING, TELEDYNE REPUBLIC",BACKUP BUNA-N RINGS IN FOUR WAY VALVES SHOULD BE VITON RINGS,03/09/1990,9004100403
90037,BOSTON EDISON,STATUS REPORT,03/12/1990,9003270379
90038,TEXAS A&M UNIVERSITY,CORRODED CONNECTOR IN LINEAR POWER MEASURING CHANNEL,03/09/1990,9003300021
90039,COLT INDUSTRIES,CROSSHATCHED HONING FINISH ON PISTON PIN BUSHINGS CAN CAUSE THE PINS TO STOP ROTATING,03/07/1990,9003200100
90040,COOPER ENERGY,EMERGENCY DIESEL GENERATOR CONNECTING ROD FAILURE,03/08/1990,9003200166
90041,"DUBOSE STEEL, COMBUSTION ENGINEERING",STEEL DELIVERED WITHOUT QUALITY ASSURANCE,03/27/1990,9004100367
90042,BALTIMORE GAS AND ELECTRIC,SHUTDOWN COOLING HEAT EXCHANGERS EXPERIENCE FLOW- INDUCED VIBRATION WHEN SHELL SIDE FLOW RATE EXCEEDS 2500 GALLONS PER MINUTE,02/26/1990,9003060475
90043,PUBLIC SERVICE OF NEW HAMPSHIRE,STATUS REPORT,03/23/1990,9004180022
90044,PUBLIC SERVICE OF NEW HAMPSHIRE,STATUS REPORT,04/03/1990,9004180018
90045,"DUKE POWER, NELSON ELECTRIC, GTE-SYLVANIA",LOOSE MOUNTING SCREWS FOR CONTACTOR ASSEMBLIES IN MOTOR CONTROL CENTERS,03/30/1990,9004100293
90046,"ILLINOIS POWER, AMERICAN AIR FILTER","VENDOR SUPPLIED INCORRECT PRESSURE DROP DATA FOR COOLING COILS, RESULTING IN SERVICE WATER SYSTEM FLOW LESS THAN DESIGNED",04/03/1990,9004190050
90047,"HOUSTON LIGHTING AND POWER,WKM VALVE DIVISION","HYDRAULIC FLUID DECOMPOSES AT TEMPERATURE EXCEEDING 150 DEGREES, CAUSING FAILURE OF SOLENOID DUMP VALVES",04/11/1990,9004230010
90048,"DUKE POWER, FENWALL ELECTRONICS",MODEL 543 TEMPERATURE CONTROLLER ACCURACY OF PLUS OR MINUS 60 DEGREES F INCONSISTENT WITH DESIGN,03/29/1990,9004100251
90049,"ARIZONA PUBLIC SERVICE,HENRY PRATT, G. H. BETTIS",REPORT FROM PALO VERDE - HANDWHEEL EQUIPPED ACTUATORS NOT SEISMICALLY OR ENVIRONMENTALLY QUALIFIED,03/26/1990,9004100144
90050,COMMONWEALTH EDISON,DISCUSSES EMERGENCY DEISEL GENERATORS AT ZION,03/09/1990,9003220064
90051,EDERER INCORPORATED,CRANE DRUM BRAKE ACTUATOR MAY NOT FUNCTION PROPERLY WITH ABNORMALLY LOW AIR PRESSURE,04/03/1990,9004200184
90052,"CONNECTICUT YANKEE ATOMIC POWER,AMERICAN BOILER, DURATEK",SOCKET WELDED FLANGES DID NOT MEET ANSI/ASME B31.1 FOR REQUIRED CLEARANCE BETWEEN PIPING ENDS AND FLANGE SOCKET BORE FACE,04/20/1990,9004300011
90053,"ILLINOIS POWER, STEWART AND STEVENSON",UNCOMMUNICATED VENDOR CHANGE OF PARTS IN AIR START MOTOR,04/16/1990,9004230477
90054,BYRON JACKSON,LEAK IN PUMP INTERNAL HEAT EXCHANGER ALLOWED REACTOR COOLANT TO ENTER THE COMPONENT COOLING WATER SYSTEM,04/20/1990,9204170184
90055,EDERER INCORPORATED,VENDOR INSTRUCTIONS TO ENSURE FUNCTION OF CRANE,04/04/1990,9005170045
90056,"PUBLIC SERVICE ELECTRIC AND GAS, LIMITORQUE",SEVERAL PINION TO SHAFT KEYS IN OPERATORS SHEARED DURING VALVE OPERATION,04/27/1990,9005070251
90057,"DRESSER INDUSTRIES, DUKE POWER COMPANY","PRESSURE FACTORS USED WITH HYDRAULIC SETTING DEVICE COULD AFFECT SERIES 1700,  3700,  31700 VALVES",05/04/1990,9005210090
90058,NAMCO CONTROL,INCORRECTLY ASSEMBLED 9-PIN EC210 AND EC220 SERIES CABLE CONNECTORS MAY BIND RECEPTACLE AND CONDUIT COUPLERS,04/30/1990,9204240232
90059,"GENERAL ELECTRIC, BINGHAM-WILLAME TTE",RECIRCULATION PUMP HAD AXIAL CRACKS IN PUMP SHAFT ABOVE IMPELLER,04/27/1990,9005220307
90060,DRESSER INDUSTRIES,"PRESSURE FACTORS USED WITH HYDRAULIC SETTING DEVICE COULD AFFECT SERIES 1700,  3700,  31700 VALVES",05/18/1990,9005310143
90061,"PUBLIC SERVICE ELECTRIC AND GAS, WESTINGHOUSE",WRONG FACTOR ASSOCIATED WITH METERING ORIFICE IN CHARGING OR SAFETY INJECTION SYSTEM,05/24/1990,9006040212
90062,"NUCLEAR REGULATORY COMMISSION, BALTIMORE GAS AND ELECTRIC",GRANTS REQUEST FOR TEMPORARY WAIVER OF COMPLIANCE FOR SALT WATER SYSTEM,05/09/1990,9005210073
90063,PERFORMANCE CONTRACTING,QUESTIONABLE AUTHENTICITY AND RELIABILITY OF BOLTING MATERIALS,05/25/1990,9011130255
90064,WESTINGHOUSE,EXTRA WIRE INSTALLED IN SOLID STATE PROTECTION SYSTEM AT SOUTH TEXAS,05/18/1990,9006140281
90065,"PUBLIC SERVICE ELECTRIC AND GAS, PACIFIC PUMPS, WESTINGHOUSE",CHARGING OR SAFETY INJECTION PUMPS ALIGNMENT LUG CUP AND SLIDE SHOE PEDESTAL ATTACHMENT WELDS DID NOT MEET VENDOR SPECIFICATIONS,05/22/1990,9005290184
90066,BYRON JACKSON,CIRCUMFERENTIAL GROOVE OF UP TO 0.200 INCH WAS OBSERVED ON THE INSIDE SURFACE OF THE JOURNAL APPROXIMATELY 3 INCHES ABOVE THE ATTACHMENT WELD TO THE IMPELLER,06/08/1990,9006140402
90067,"PUBLIC SERVICE ELECTRIC AND GAS, LIMITORQUE, JAMESBURY",MOTOR PINION KEY IN OPERATOR WAS TOO SOFT FOR ITS INTENDED APPLICATION,06/04/1990,9006120159
90068,"NORTHEAST NUCLEAR ENERGY, TUFLINE, CARDINAL INDUSTRIAL PRODUCTS",SEVERAL BODY TO COVER BOLTS ON PLUG VALVES HAVE FAILED BECAUSE LUBRICANT USED ON BOLTS HAS A HIGH HALOGEN CONTENT,05/11/1990,9005210083
90069,"NORTHEAST NUCLEAR ENERGY, TUFLINE, CARDINAL INDUSTRIAL PRODUCTS",SEVERAL BODY TO COVER BOLTS ON PLUG VALVES HAVE FAILED BECAUSE LUBRICANT USED ON BOLTS HAS A HIGH HALOGEN CONTENT,06/11/1990,9006180250
90070,"ROCHESTER GAS AND ELECTRIC, LIMITORQUE",LOOSE SMA-TYPE TORQUE SWITCH SOCKET HEAD MOUNTING SCREWS AND WIRE TERMINATION BOLTS,05/31/1990,9006110336
90071,COOPER ENERGY,MAGNETIC SPEED SENSOR WAS MISAPPLIED IN EMERGENCY DEISEL GENERATOR CONTROL CIRCUITRY,05/22/1990,9006210284
90072,"MORRISON- KNUDSEN, GRAHAM WHITE",AIR START SOLENOID VALVE MAY NOT SEAT PROPERLY UNDER HIGH PRESSURE,06/13/1990,9006250034
90073,"MORRISON- KNUDSEN, CUTLER-HAMMER",DIMENSIONAL PROBLEMS MAY EXIST IN CERTAIN CONTACTORS IN IMMERSION HEATING SYSTEM,05/11/1990,9005230191
90074,"MORRISON- KNUDSEN, CUTLER-HAMMER",DIMENSIONAL PROBLEMS MAY EXIST IN CERTAIN CONTACTORS IN IMMERSION HEATING SYSTEM,05/18/1990,9005300042
90075,"INGERSOLL-RAND, TERRY TURBINE",OVERSPEED TRIP TAPPET CAN SWELL IN CERTAIN ENVIRONMENTS,06/05/1990,9006210302
90076,WESTINGHOUSE,POTENTIAL FOR LACK OF ELECTRICAL ISOLATION MAY EXIST FOR FOXBORO AND W-7100 SERIES PROCESS INSTRUMENTATION,06/22/1990,9010310068
90077,ROSEMOUNT,"HIGH MOISTURE LEVEL IN MODEL 510 TRIP UNITS CAN PRODUCE LEAKAGE PATH ACROSS OUTPUT TRANSISTOR, CAUSING TRIP SIGNAL WITHOUT INDICATION",06/08/1990,9006200474
90078,"ROCHESTER GAS AND ELECTRIC, WESTINGHOUSE",POTENTIAL COMMON MODE FAILURE OF OT-2 TYPE RESET SWITCHES,06/15/1990,9006270227
90079,"ROCHESTER GAS AND ELECTRIC, WESTINGHOUSE",ERROR OF SAFETY INJECTION BLOCK OR UNBLOCK SWITCH COULD DISABLE SOME SAFETY INJECTION FEATURES FOR BOTH TRAINS,06/28/1990,9007090051
90080,"COOPER ENERGY, CALIFORNIA CONTROLS",POTENTIAL PROBLEM WITH CONTROL SYSTEM DEVICES,06/08/1990,9006210384
90081,BBC BROWN BOVERI,"THERMALLY STRESSED SOLDER CONNECTIONS ON TYPE 47, 47D, AND 47H RELAYS OF WIRE WOUND RESISTORS TO WIRING RUNS ON BOTTOM OF CIRCUIT BOARDS",07/05/1990,9007120377
90082,"TENNESSEE VALLEY AUTHORITY,AIR MONITOR",DEFICIENCIES IN RADIATION MONITORING SYSTEM,06/29/1990,9007090275
90083,ROCKBESTOS,KS-500 SILICONE RUBBER ACTIVATION ENERGY VALUES FOR FIREWALL INSULATED CABLE AND FIREZONE R SPECIAL PURPOSE CABLE,06/25/1990,9007170432
90084,"CAROLINA POWER AND LIGHT, POTTER AND BRUMFIELD, AGASTAT RELAY",BOTH EMERGENCY LOAD SEQUENCERS SUBJECT TO COMMON MODE FAILURE DUE TO RELAYS NOT ACCOUNTING FOR DC INDUCTIVE LOAD,06/25/1990,9006270282
90085,STEWART AND STEVENSON SERVICES,DIESEL GENERATOR FAILURE DUE TO LOSS OF LUBRICATION TO THE GENERATOR THRUST BEARING,06/25/1990,9007050126
90086,WESTINGHOUSE,ERROR IN 1971 DECAY HEAT MODEL IN THE WCOBRA/TRAC COMPUTER CODE USED FOR LARGE BREAK LOSS OF COOLANT ACCIDENT ANALYSES,07/16/1990,9007190068
90087,COOPER ENERGY,POTENTIAL PROBLEM WITH STARTING AIR ADMISSION VALVE IN A DSR OR DSRV STANDBY DIESEL GENERATOR SYSTEM,07/19/1990,9007240028
90088,"DETROIT EDISON, LIMITORQUE",CONFIGURATION DISCREPANCIES IN GEARED LIMIT SWITCH ASSEMBLIES,07/27/1990,9007310077
90089,"WISCONSIN ELECTRIC POWER, WESTINGHOUSE",ERROR IN 1971 DECAY HEAT MODEL IN THE WCOBRA/TRAC COMPUTER CODE USED FOR LARGE BREAK LOSS OF COOLANT ACCIDENT ANALYSES,07/24/1990,9008010037
90090,"PUBLIC SERVICE ELECTRIC AND GAS, WESTINGHOUSE",POTENTIAL COMMON MODE FAILURE OF MAIN STEAM ISOLATION VALVES TO CLOSE,08/02/1990,9008100211
90091,"SOUTHERN CALIFORNIA EDISON,COOPER ENERGY",UNANTICIPATED EQUIPMENT ACTUATIONS FOLLOWING RESTORATION OF POWER TO TRANSMITTER TRIP UNITS,06/29/1990,9008080328
90092,COOPER ENERGY,FAILURE OF A CRANKSHAFT FOR ENTERPRISE ENGINE DSRV-16 ON SHIP,07/27/1990,9008010235
90093,"DUKE POWER, WESTINGHOUSE",DISCUSSES STEAM GENERATORS AND REPORTING RESPONSIBILITIES,06/29/1990,9007120025
90094,"CONNECTICUT YANKEE ATOMIC POWER,BBC BROWN BOVERI",BUSHING NOT INSTALLED ON BREAKER,06/05/1990,9006130357
90095,BBC BROWN BOVERI,RESPONDS TO 10 CFR PART 21 REPORT CONCERNING K-LINE CIRCUIT BREAKERS,06/08/1990,9006200435
90096,"ARIZONA PUBLIC SERVICE,HENRY VALVE",CARBON STEEL KEYS WERE REPLACED WITH STAINLESS STEEL KEYS IN SIX ESSENTIAL SPRAY POND CROSS PROCESS INSTRUMENTATION CONNECT VALVES,05/25/1990,9005310192
90097,"GULF STATES UTILITIES, COOPER ENERGY",DEFECT IN A STANDBY DIESEL GENERATOR INTAKE ROCKER ARM ASSEMBLY,10/13/1989,9005250107
90098,"ARIZONA PUBLIC SERVICE, MASONEILAN",LACK OF ENVIRONMENTAL AND SEISMIC QUALIFICATION FOR TYPE 77-4 AIR REGULATORS INSTALLED IN ATMOSPHERIC DUMP VALVE CONTROL AIR SYSTEM,07/18/1990,9007240054
90099,"YANKEE ATOMIC ELECTRIC, WEKSLER INSTRUMENT",MISAPPLICATION OF FLUOROLUBE FS-5 OIL IN MAIN STEAM LINE PRESSURE GAUGES,08/14/1990,9008200081
90100,"BALTIMORE GAS AND ELECTRIC, THOMAS AND BETTS",MATERIAL DEFICIENCIES IN ELECTRICAL TERMINAL LUGS,08/03/1990,9008070305
90101,"PORTLAND GENERAL ELECTRIC, BECHTEL POWER",ENGINEERED SAFEGUARDS FEATURES ELECTRICAL SWITCHGEAR ROOM DESIGN TEMPERATURE POSSIBLY EXCEEDED ON LOSS OF OFFSITE POWER AND SAFETY INJECTION SIGNAL,08/24/1990,9008300185
90102,"WASHINGTON PUBLIC POWER, STEWART AND STEVENSON SERVICES, PARSONS PEEBLES ELECTRIC",EMERGENCY DIESEL GENERATOR EXTRA O-RING GROOVE AND SHORTED GENERATOR FIELD POLE WINDINGS,08/09/1990,9008160148
90103,"ARIZONA PUBLIC SERVICE, ANCHOR/DARLING",FEED WATER ISOLATION VALVE 4- WAY REBUILD KITS HAVE NON- VITON MATERIAL FOR THE O-RINGS AND BACKUP RINGS,09/04/1990,9009140140
90104,WHITING CORPORATION,OVERSTRESSED CONNECTION POINTS OF CRANE TROLLEYS,09/14/1990,9010170016
90105,"ILLINOIS POWER, FISHER CONTROLS",POTENTIAL OVERPRESSURIZATION OF SAFETY RELATED AIR OPERATED VALVES,08/29/1990,9009050293
90106,"NORTHEAST NUCLEAR ENERGY, WESTINGHOUSE, TOBAR",TRANSMITTERS HAVE EXCESSIVE OUTPUT SHIFTS RELATIVE TO CHANGES IN AMBIENT TEMPERATURE,08/27/1990,9009060114
90107,"PORTLAND GENERAL ELECTRIC, SANDUSKY NUTAND BOLT",DEFECTS IN LOT E OF BONNET NUTS FOR TWO RESIDUAL HEAT REMOVAL CHECK VALVES,08/21/1990,9008300173
90108,CUTLER-HAMMER,IMMERSION HEATER CONTACTORS,09/12/1990,9009270026
90109,ANCHOR/DARLING,DISCUSSES TYPE 12500 MECHANICAL SNUBBER,09/26/1990,9010090044
90110,"MORRISON- KNUDSEN, CUTLER-HAMMER",IMMERSION HEATER CONTACTORS,10/10/1990,9011020133
90111,WKM VALVE DIVISION,"HYDRAULIC FLUID DECOMPOSES AT TEMPERATURE EXCEEDING 150 DEGREES, CAUSING FAILURE OF SOLENOID DUMP VALVES",10/15/1990,9010250156
90112,"WESTINGHOUSE, BURR BROWN",POTENTIAL FOR TEMPERATURE RELATED FAILURES OF PRINTED CIRCUIT BOARDS,10/29/1990,9011060239
90113,HILTI FASTENING SYSTEMS,EXPECTED LOADS WITH NEW DRILL BITS WITHIN 1.6 STANDARD DEVIATIONS,10/25/1990,9011080278
90114,BINGHAM-WILLAME TTE,DEFECT IN REACTOR COOLANT PUMP SEAL HOUSING,09/10/1990,9011080263
90115,FAIRBANKS MORSE,DEFECT IN DIESEL ENGINE DIVISION CONNECTING ROD BOLTS,09/24/1990,9010030234
90116,"NORTHEAST NUCLEAR ENERGY, GENERAL ELECTRIC",PROBLEM WITH COMPONENT COOLING WATER MOTOR,08/27/1990,9009060119
90117,GENERAL ELECTRIC,"FAILURE ON DEMAND OF 4.16 KV VERTICAL LIFT SWITCHGEAR, CELL MOUNTED, AUXILIARY CONTACTS",11/01/1990,9011190138
90118,TARGET ROCK,IMPROPER MATERIAL SUBSTITUTION AFFECTING MARKER STRIPS SUPPLIED WITH SOLENOID VALVES IN SINGLE LOT,09/17/1990,9010170321
90119,"NOVA MACHINE PRODUCTS, MEREDITH CORPORATION",TYPESETTING ANOMALY IN MATERIAL CERTIFICATION,07/27/1990,9012040347
90120,PACIFIC SCIENTIFIC,ROD AND BEARING ASSEMBLIES FAILED AT MECHANICAL SWAGE JOINT,10/16/1990,9010160130
90121,"CAROLINA POWER AND LIGHT,DELTA SOUTHERN, WESTINGHOUSE",STAINLESS STEEL DIFFERENT THAN SPECIFIED IN SAFETY INJECTION ACCUMULATORS,11/16/1990,9011270030
90122,CUTLER-HAMMER,NUISANCE TRIPPING OF H1100 SERIES OF HEATER COILS,09/12/1990,9009250138
90123,GILBERT/COMMONW EALTH,RUPTURE OF LOWEST ELEVATION OF NONSAFETY PIPING IN CHILLED WATER SYSTEM,10/30/1990,9011080309
90124,"ALABAMA POWER, LIMITORQUE",OVERSIZED LUGS ON NEW SAFETY RELATED MOTOR OPERATORS,10/19/1990,9010290136
90125,COOPER ENERGY,LENGTH OF RETAINERS TOO LONG ON INTAKE OR EXHAUST VALVES,10/25/1990,9011050045
90126,BASLER ELECTRIC,POSSIBILE BACKWARD INSTALLATION OF ZENER DIODE ON POWER SUPPLY BOARD,10/09/1990,9011210058
90127,COLT INDUSTRIES,POTENTIAL FATIGUE CRACKS IN FUEL INJECTION PUMP DELIVERY VALVE HOLDERS ON PC-2 AND PC-2.3 ENGINES,09/06/1990,9009260221
90128,"CLEVELAND ELECTRIC ILLUMINATING, AUTOMATIC SWITCH COMPANY",FAILURE OF SCRAM SOLENOID PILOT VALVES,12/14/1990,9012180248
90129,COMPUTER PRODUCTS,CABLE ASSEMBLIES DO NOT MEET IEEE-383 SPECIFICATION,12/13/1990,9101020019
90130,"MISSISSIPPI POWER AND LIGHT, AUTOMATIC SWITCH COMPANY",MAIN STEAM ISOLATION VALVE FAILED TO CLOSE DUE TO SOLENOID VALVE HAVING A PIECE OF ELASTOMER SEAT MATERIAL OCCLUDE EXHAUST PORT VENT HOLE,11/21/1990,9104150156
90131,LIMITORQUE,POTENTIAL FAILURE OF SMB 00 TORQUE SWITCH ROLL PINS,12/11/1990,9012190187
90132,"NATIONAL TECHNICAL SYSTEMS, VERSATILE MEASURING INSTRUMENTS",GASKET SLIPPAGE ON MODELS 9262X AND 9264X SERIES METERS INHIBIT PROPER FUNCTIONING,11/20/1990,9011300319
90133,"ARKANSAS POWER AND LIGHT, RADNOR ALLOYS, SANDVIK STEEL WORKS",DEFECTS IN ASME III CLASS 1 STAINLESS STEEL PIPE TO BE USED IN HIGH PRESSURE INJECTION SYSTEM,10/29/1990,9011070200
90134,"ARIZONA PUBLIC SERVICE, COOPER ENERGY",FILLET WELDS ON BRACKETS ON EMERGENCY DEISEL GENERATORS,12/07/1990,9012140245
90135,FOXBORO,SPECIFICATION 200 MICRO N-2CCA CONTROLLER CARDS DURING SHORT TERM POWER INTERRUPTIONS,12/18/1990,9101070111
90136,HILTI FASTENING SYSTEMS,KWIK BOLT II EXPANSION ANCHOR TESTS INDICATE INADEQUATE ULTIMATE TENSILE LOAD VALUES,12/14/1990,9104150242
90137,WHITING CORPORATION,CRANE SERIAL NUMBER 9548,12/21/1990,9101020155
90138,ROBERTSHAW CONTROLS,QUALITY PROGRAM NOT CONFORMING TO 10 CFR 50 APPENDIX B PROVISIONS,12/18/1990,9104220075
90139,"DUKE POWER, DRESSER INDUSTRIES","PRESSURIZER SAFETY VALVES DRIFT, EXCEEDING TECHNICAL SPECIFICATIONS ALLOWANCE",04/04/1990,9004190280
89001,"COMBUSTION ENGINEERING, CONSUMERS POWER",CRACKING OF CONTROL ROD DRIVE MECHANISM (CRDM) HOUSINGS,10/18/1988,8812060105
89002,"COLT INDUSTRIES, DUQUESNE LIGHT, PUBLIC SERVICE OF NEW HAMPSHIRE",LUBRICATING OIL STRAINERS ON DIESEL GENERATORS,02/10/1989,8903140553
89003,"NIAGARA MOHAWK POWER,NUCLEAR ENERGY SERVICES","CONTRACTOR FAILED TO COMPLETE ALL EXAMINATIONS, DOCUMENT DEFICIENCIES IN INSERVICE INSPECTION",02/24/1989,8903020529
89004,ROSEMOUNT,"PRESSURE TRANSMITTERS 1153 AND 1154 EXHIBITED OUTPUT SHIFTS, LACK OF RESPONSE, INCREASED TIME RESPONSE, AND OFFSCALE READINGS",02/09/1989,8902280314
89005,"ARKANSAS POWER AND LIGHT, ROSEMOUNT",MAINTENANCE OF ROSEMOUNT 1153 AND 1154 TRANSMITTERS CAN DAMAGE THE SEAL AROUND SENSOR MODULE THREADS,09/20/1988,8809290163
89006,"COOPER ENERGY, ARIZONA PUBLIC SERVICE",SMALL CRACKS IN DIESEL EXHAUST VALVE ROCKER ARM,01/18/1989,8901240490
